                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.62785,                 0.3951,                0.71013,                0.49759,                0.57503,                0.51638,                0.45294,                 0.5044,                 1.3177,                0.62899,               0.001585,               0.001585,               0.001585
                     88,                0.62444,                0.39255,                0.70792,                0.46633,                0.62011,                 0.5158,                0.45226,                0.50415,                 1.3181,                0.62879,               0.001486,               0.001486,               0.001486
                     89,                0.62008,                0.38657,                0.70626,                 0.4717,                0.61671,                0.51595,                 0.4523,                0.50394,                   1.32,                 0.6284,               0.001387,               0.001387,               0.001387
                     90,                0.61834,                0.38165,                 0.7038,                  0.472,                0.61995,                0.51553,                0.45199,                 0.5033,                 1.3212,                0.62771,               0.001288,               0.001288,               0.001288
                     91,                 0.6149,                0.37695,                0.70256,                0.47145,                0.61315,                0.51479,                 0.4514,                 0.5032,                 1.3224,                0.62744,               0.001189,               0.001189,               0.001189
                     92,                0.61028,                0.37094,                0.70131,                0.47151,                0.61371,                0.51306,                0.45033,                0.50302,                 1.3247,                0.62717,                0.00109,                0.00109,                0.00109
                     93,                0.60806,                0.36653,                0.69983,                0.47798,                0.60401,                0.51224,                0.44953,                0.50315,                 1.3265,                0.62713,               0.000991,               0.000991,               0.000991
                     94,                 0.6045,                0.36163,                0.69707,                0.48031,                0.59668,                0.51094,                0.44822,                0.50314,                 1.3287,                0.62685,               0.000892,               0.000892,               0.000892
                     95,                0.59983,                  0.356,                0.69669,                0.49911,                0.57123,                 0.5107,                0.44784,                0.50299,                 1.3301,                0.62666,               0.000793,               0.000793,               0.000793
                     96,                0.59681,                0.34936,                0.69055,                0.49959,                0.57497,                0.51104,                0.44818,                0.50275,                 1.3313,                0.62599,               0.000694,               0.000694,               0.000694
                     97,                0.59279,                0.34379,                0.69068,                0.50048,                0.57823,                0.51108,                0.44839,                 0.5029,                 1.3316,                0.62571,               0.000595,               0.000595,               0.000595
                     98,                0.58791,                0.33723,                0.68858,                0.50217,                0.57704,                 0.5104,                0.44774,                0.50284,                 1.3329,                0.62539,               0.000496,               0.000496,               0.000496
                     99,                0.58519,                0.33294,                0.68657,                0.49591,                0.58159,                0.50879,                0.44667,                 0.5026,                 1.3349,                0.62493,               0.000397,               0.000397,               0.000397
                    100,                0.58145,                0.32693,                0.68346,                0.47379,                0.60915,                0.50844,                0.44632,                0.50278,                 1.3362,                0.62464,               0.000298,               0.000298,               0.000298
